Nama Kendaraan,Nama Vendor,Harga (/hari),Penumpang,Bagasi,Rating,Review,Sopir/Lepas Kunci,Air Mineral,Antar Jemput,Jumlah Order,Hari,Rating Mobil,Jenis Kendaraan,,,
"Toyota Grand New Avanza,BIMARA MOTOR,""115.000,00"",6,2,4.7,315,Sopir,Tidak,Tidak,1000,Senin,,,,,"
"Toyota Grand New Avanza,GPS OTTO RENT,""115.000,00"",6,2,4.5,117,Sopir,Tidak,Tidak,100,Senin,,,,,"
"Toyota Grand New Avanza,KONCO DOLAN,""120.000,00"",6,2,4.5,1151,Sopir,Tidak,Ya,1000,Senin,,,,,"
"Toyota Grand New Avanza,JOGJA TOUR72,""125.000,00"",6,2,4.5,25,Sopir,Tidak,Ya,50,Senin,,,,,"
"Toyota Grand New Avanza,KARUNIA SEJAHTERA,""150.000,00"",6,2,4.3,351,Sopir,Ya,Tidak,1000,Senin,,,,,""notes : jenis kendaraan, SUV, MPV, BUS, LMPV"""
"Toyota Grand New Avanza,SHEYCO TOUR,""185.000,00"",6,2,4.5,218,Sopir,Ya,Ya,1000,Senin,,,,,"
"Toyota Grand New Avanza,PLESIRAN JOGJA,""375.000,00"",6,2,4.3,24,Sopir,Tidak,Tidak,100,Senin,,,,,"
"Toyota Grand New Avanza,SULTRANZ HOLIDAY,""400.000,00"",6,2,3.8,8,Sopir,Tidak,Tidak,50,Senin,,,,,"
"Daihatsu All New Xenia 2022,KARUNIA SEJAHTERA,""165.000,00"",6,2,4.3,351,Sopir,Ya,Tidak,1000,Senin,,,,,"
"Daihatsu All New Xenia 2022,JOGJA TOUR72,""175.000,00"",6,2,4.5,25,Sopir,Tidak,Ya,50,Senin,,,,,"
"Daihatsu All New Xenia 2022,KONCO DOLAN,""185.000,00"",6,2,4.5,1151,Sopir,Tidak,Tidak,1000,Senin,,,,,"
"Daihatsu All New Xenia 2022,GPS OTTO RENT,""250.000,00"",6,2,4.5,117,Sopir,Tidak,Tidak,100,Senin,,,,,"
"Daihatsu All New Xenia 2022,SHEYCO TOUR,""285.000,00"",6,2,4.5,218,Sopir,Tidak,Tidak,1000,Senin,,,,,"
"Toyoa All New Avanza 2022,KARUNIA SEJAHTERA,""200.000,00"",6,2,4.3,351,Sopir,Ya,Tidak,1000,Senin,,,,,"
"Toyoa All New Avanza 2022,JOGJA TOUR72,""225.000,00"",6,2,4.5,25,Sopir,Tidak,Ya,50,Senin,,,,,"
"Toyoa All New Avanza 2022,KONCO DOLAN,""250.000,00"",6,2,4.5,1151,Sopir,Tidak,Tidak,1000,Senin,,,,,"
"Toyoa All New Avanza 2022,BIMARA MOTOR,""250.000,00"",6,2,4.7,315,Sopir,Ya,Tidak,1000,Senin,,,,,"
"Toyoa All New Avanza 2022,GPS OTTO RENT,""250.000,00"",6,2,4.5,117,Sopir,Tidak,Ya,1000,Senin,,,,,"
"Toyoa All New Avanza 2022,SHEYCO TOUR,""295.000,00"",6,2,4.5,218,Sopir,Tidak,Tidak,100,Senin,,,,,"
"Toyoa All New Avanza 2022,TEGSA,""470.000,00"",6,2,4.9,127,Sopir,Ya,Tidak,1000,Senin,,,,,"
"Toyoa All New Avanza 2022,VELOCITY TRANSPORT,""575.000,00"",6,2,5.0,3,Sopir,Ya,Tidak,100,Senin,,,,,"
"Honda New Brio,KONCO DOLAN,""200.000,00"",4,2,4.5,1151,Sopir,Tidak,Tidak,1000,Senin,,,,,"
"Toyoa Innova Reborn,KONCO DOLAN,""365.000,00"",6,2,4.5,1151,Sopir,Tidak,Tidak,1000,,,,,,"
"Toyoa Innova Reborn,BIMARA MOTOR,""365.000,00"",6,2,4.7,315,Sopir,Tidak,Tidak,1000,,,,,,"
"Toyoa Innova Reborn,AMERIS PATRIA,""365.000,00"",6,2,4.6,88,Sopir,Tidak,Tidak,500,,,,,,"
"Toyoa Innova Reborn,SHEYCO TOUR,""385.000,00"",6,2,4.5,218,Sopir,Ya,Tidak,1000,,,,,,"
"Toyoa Innova Reborn,SULTRANZ HOLIDAY,""600.000,00"",6,2,4.5,8,Sopir,Tidak,Tidak,50,,,,,,"
"Toyoa Innova Reborn,TEGSA,""660.000,00"",6,2,3.8,127,Sopir,Ya,Tidak,100,,,,,,"
"Toyoa Innova Reborn,VELOCITY TRANSPORT,""675.000,00"",6,2,4.9,3,Sopir,Tidak,Tidak,43,,,,,,"
